"filename","Plot","Tair","V","S","Day","Month","N","flux"
"May122012P12.dat",11,24.075,0.00281969908169872,78.5398163397448,12,8,32,0.199557837615402
"May122012P12.dat",12,21.821875,0.00281969908169872,78.5398163397448,12,8,32,0.107482639340228
"May122012P12.dat",13,22.8875,0.00281969908169872,78.5398163397448,12,8,32,0.0516270353280506
"May122012P12.dat",21,22.128125,0.00281969908169872,78.5398163397448,12,8,32,0.0603759456636572
"May122012P12.dat",22,21.390625,0.00281969908169872,78.5398163397448,12,8,32,0.12555721558833
"May122012P12.dat",23,22.259375,0.00281969908169872,78.5398163397448,12,8,32,0.0679858597809637
"May122012P12.dat",31,22.9,0.00281969908169872,78.5398163397448,12,8,32,0.0443343624234461
"May122012P12.dat",32,21.0875,0.00281969908169872,78.5398163397448,12,8,32,0.125323217998385
"May122012P12.dat",33,21.228125,0.00281969908169872,78.5398163397448,12,8,32,0.059560489023525
"May122012P12.dat",41,22.6625,0.00281969908169872,78.5398163397448,12,8,32,0.0105385850665634
"May122012P12.dat",42,21.60625,0.00281969908169872,78.5398163397448,12,8,32,0.0854991694357407
"May122012P12.dat",43,23.090625,0.00281969908169872,78.5398163397448,12,8,32,0.0343002786283705
"May122012P12.dat",51,22.70625,0.00281969908169872,78.5398163397448,12,8,32,0.0335645148561027
"May122012P12.dat",52,22.325,0.00281969908169872,78.5398163397448,12,8,32,0.0891139559863529
"May122012P12.dat",53,22.4,0.00281969908169872,78.5398163397448,12,8,32,0.0424329364842109
"May122012P12.dat",61,22.728125,0.00281969908169872,78.5398163397448,12,8,32,0.0370339678330295
"May122012P12.dat",62,21.684375,0.00281969908169872,78.5398163397448,12,8,32,0.0908789028803121
"May122012P12.dat",63,23.1625,0.00281969908169872,78.5398163397448,12,8,32,0.0421564150840359
"May122012P12.dat",71,22.415625,0.00281969908169872,78.5398163397448,12,8,32,0.0198733331130548
"May122012P12.dat",72,21.15625,0.00281969908169872,78.5398163397448,12,8,32,0.0758744610641133
"May122012P12.dat",73,22.4,0.00281969908169872,78.5398163397448,12,8,32,0.0457252374617355
"May122012P12.dat",81,23.7625,0.00281969908169872,78.5398163397448,12,8,32,0.0383661188238898
"May122012P12.dat",82,21.4125,0.00281969908169872,78.5398163397448,12,8,32,0.103224058166145
"May122012P12.dat",83,24.04375,0.00281969908169872,78.5398163397448,12,8,32,0.0894327498867934
"August122013P12.dat",11,24.075,0.00281969908169872,78.5398163397448,12,8,32,0.199557837615402
"August122013P12.dat",12,21.821875,0.00281969908169872,78.5398163397448,12,8,32,0.107482639340228
"August122013P12.dat",13,22.8875,0.00281969908169872,78.5398163397448,12,8,32,0.0516270353280506
"August122013P12.dat",21,22.128125,0.00281969908169872,78.5398163397448,12,8,32,0.0603759456636572
"August122013P12.dat",22,21.390625,0.00281969908169872,78.5398163397448,12,8,32,0.12555721558833
"August122013P12.dat",23,22.259375,0.00281969908169872,78.5398163397448,12,8,32,0.0679858597809637
"August122013P12.dat",31,22.9,0.00281969908169872,78.5398163397448,12,8,32,0.0443343624234461
"August122013P12.dat",32,21.0875,0.00281969908169872,78.5398163397448,12,8,32,0.125323217998385
"August122013P12.dat",33,21.228125,0.00281969908169872,78.5398163397448,12,8,32,0.059560489023525
"August122013P12.dat",41,22.6625,0.00281969908169872,78.5398163397448,12,8,32,0.0105385850665634
"August122013P12.dat",42,21.60625,0.00281969908169872,78.5398163397448,12,8,32,0.0854991694357407
"August122013P12.dat",43,23.090625,0.00281969908169872,78.5398163397448,12,8,32,0.0343002786283705
"August122013P12.dat",51,22.70625,0.00281969908169872,78.5398163397448,12,8,32,0.0335645148561027
"August122013P12.dat",52,22.325,0.00281969908169872,78.5398163397448,12,8,32,0.0891139559863529
"August122013P12.dat",53,22.4,0.00281969908169872,78.5398163397448,12,8,32,0.0424329364842109
"August122013P12.dat",61,22.728125,0.00281969908169872,78.5398163397448,12,8,32,0.0370339678330295
"August122013P12.dat",62,21.684375,0.00281969908169872,78.5398163397448,12,8,32,0.0908789028803121
"August122013P12.dat",63,23.1625,0.00281969908169872,78.5398163397448,12,8,32,0.0421564150840359
"August122013P12.dat",71,22.415625,0.00281969908169872,78.5398163397448,12,8,32,0.0198733331130548
"August122013P12.dat",72,21.15625,0.00281969908169872,78.5398163397448,12,8,32,0.0758744610641133
"August122013P12.dat",73,22.4,0.00281969908169872,78.5398163397448,12,8,32,0.0457252374617355
"August122013P12.dat",81,23.7625,0.00281969908169872,78.5398163397448,12,8,32,0.0383661188238898
"August122013P12.dat",82,21.4125,0.00281969908169872,78.5398163397448,12,8,32,0.103224058166145
"August122013P12.dat",83,24.04375,0.00281969908169872,78.5398163397448,12,8,32,0.0894327498867934
"August132013P12.dat",11,24.075,0.00281969908169872,78.5398163397448,12,8,32,0.199557837615402
"August132013P12.dat",12,21.821875,0.00281969908169872,78.5398163397448,12,8,32,0.107482639340228
"August132013P12.dat",13,22.8875,0.00281969908169872,78.5398163397448,12,8,32,0.0516270353280506
"August132013P12.dat",21,22.128125,0.00281969908169872,78.5398163397448,12,8,32,0.0603759456636572
"August132013P12.dat",22,21.390625,0.00281969908169872,78.5398163397448,12,8,32,0.12555721558833
"August132013P12.dat",23,22.259375,0.00281969908169872,78.5398163397448,12,8,32,0.0679858597809637
"August132013P12.dat",31,22.9,0.00281969908169872,78.5398163397448,12,8,32,0.0443343624234461
"August132013P12.dat",32,21.0875,0.00281969908169872,78.5398163397448,12,8,32,0.125323217998385
"August132013P12.dat",33,21.228125,0.00281969908169872,78.5398163397448,12,8,32,0.059560489023525
"August132013P12.dat",41,22.6625,0.00281969908169872,78.5398163397448,12,8,32,0.0105385850665634
"August132013P12.dat",42,21.60625,0.00281969908169872,78.5398163397448,12,8,32,0.0854991694357407
"August132013P12.dat",43,23.090625,0.00281969908169872,78.5398163397448,12,8,32,0.0343002786283705
"August132013P12.dat",51,22.70625,0.00281969908169872,78.5398163397448,12,8,32,0.0335645148561027
"August132013P12.dat",52,22.325,0.00281969908169872,78.5398163397448,12,8,32,0.0891139559863529
"August132013P12.dat",53,22.4,0.00281969908169872,78.5398163397448,12,8,32,0.0424329364842109
"August132013P12.dat",61,22.728125,0.00281969908169872,78.5398163397448,12,8,32,0.0370339678330295
"August132013P12.dat",62,21.684375,0.00281969908169872,78.5398163397448,12,8,32,0.0908789028803121
"August132013P12.dat",63,23.1625,0.00281969908169872,78.5398163397448,12,8,32,0.0421564150840359
"August132013P12.dat",71,22.415625,0.00281969908169872,78.5398163397448,12,8,32,0.0198733331130548
"August132013P12.dat",72,21.15625,0.00281969908169872,78.5398163397448,12,8,32,0.0758744610641133
"August132013P12.dat",73,22.4,0.00281969908169872,78.5398163397448,12,8,32,0.0457252374617355
"August132013P12.dat",81,23.7625,0.00281969908169872,78.5398163397448,12,8,32,0.0383661188238898
"August132013P12.dat",82,21.4125,0.00281969908169872,78.5398163397448,12,8,32,0.103224058166145
"August132013P12.dat",83,24.04375,0.00281969908169872,78.5398163397448,12,8,32,0.0894327498867934
"December032013P12.dat",11,24.075,0.00281969908169872,78.5398163397448,12,8,32,0.199557837615402
"December032013P12.dat",12,21.821875,0.00281969908169872,78.5398163397448,12,8,32,0.107482639340228
"December032013P12.dat",13,22.8875,0.00281969908169872,78.5398163397448,12,8,32,0.0516270353280506
"December032013P12.dat",21,22.128125,0.00281969908169872,78.5398163397448,12,8,32,0.0603759456636572
"December032013P12.dat",22,21.390625,0.00281969908169872,78.5398163397448,12,8,32,0.12555721558833
"December032013P12.dat",23,22.259375,0.00281969908169872,78.5398163397448,12,8,32,0.0679858597809637
"December032013P12.dat",31,22.9,0.00281969908169872,78.5398163397448,12,8,32,0.0443343624234461
"December032013P12.dat",32,21.0875,0.00281969908169872,78.5398163397448,12,8,32,0.125323217998385
"December032013P12.dat",33,21.228125,0.00281969908169872,78.5398163397448,12,8,32,0.059560489023525
"December032013P12.dat",41,22.6625,0.00281969908169872,78.5398163397448,12,8,32,0.0105385850665634
"December032013P12.dat",42,21.60625,0.00281969908169872,78.5398163397448,12,8,32,0.0854991694357407
"December032013P12.dat",43,23.090625,0.00281969908169872,78.5398163397448,12,8,32,0.0343002786283705
"December032013P12.dat",51,22.70625,0.00281969908169872,78.5398163397448,12,8,32,0.0335645148561027
"December032013P12.dat",52,22.325,0.00281969908169872,78.5398163397448,12,8,32,0.0891139559863529
"December032013P12.dat",53,22.4,0.00281969908169872,78.5398163397448,12,8,32,0.0424329364842109
"December032013P12.dat",61,22.728125,0.00281969908169872,78.5398163397448,12,8,32,0.0370339678330295
"December032013P12.dat",62,21.684375,0.00281969908169872,78.5398163397448,12,8,32,0.0908789028803121
"December032013P12.dat",63,23.1625,0.00281969908169872,78.5398163397448,12,8,32,0.0421564150840359
"December032013P12.dat",71,22.415625,0.00281969908169872,78.5398163397448,12,8,32,0.0198733331130548
"December032013P12.dat",72,21.15625,0.00281969908169872,78.5398163397448,12,8,32,0.0758744610641133
"December032013P12.dat",73,22.4,0.00281969908169872,78.5398163397448,12,8,32,0.0457252374617355
"December032013P12.dat",81,23.7625,0.00281969908169872,78.5398163397448,12,8,32,0.0383661188238898
"December032013P12.dat",82,21.4125,0.00281969908169872,78.5398163397448,12,8,32,0.103224058166145
"December032013P12.dat",83,24.04375,0.00281969908169872,78.5398163397448,12,8,32,0.0894327498867934
